trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-66.90326691442486,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",30,0,-174.04041323634382,"{0: 18, 1: 5, 2: 3, 3: 1, 4: 3}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",35,0,-202.4889589874489,"{0: 19, 1: 7, 2: 5, 3: 1, 4: 3}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,11,-3.79511438913051,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-188.96944137141043,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",25,5,-158.54253602685634,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",1
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",30,0,-210.44750811153116,"{0: 15, 1: 4, 2: 5, 3: 4, 4: 2}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",25,0,-85.63269874031513,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-89.93314084167643,"{0: 9, 1: 6, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-284.5884409455004,"{0: 6, 1: 2, 2: 6, 3: 1, 4: 5}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",25,0,-173.08257710811642,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-130.59016379716942,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",30,0,-80.84691306255567,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",25,0,-293.9841475253568,"{0: 11, 1: 0, 2: 8, 3: 1, 4: 5}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-103.4987876980041,"{0: 11, 1: 1, 2: 5, 3: 3, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",25,5,-58.874017996330934,"{0: 15, 1: 2, 2: 0, 3: 3, 4: 0}",1
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-258.95008598413574,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-127.09905731574977,"{0: 19, 1: 6, 2: 2, 3: 1, 4: 2}",0
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-104.3295825124226,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",20,6,-111.7957547304387,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 2}",1
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,6,-79.37435404426688,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-139.48835877659315,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",20,0,-77.30247986853153,"{0: 9, 1: 6, 2: 4, 3: 1, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520296}",30,0,-183.77830716002967,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",20,0,-78.35195744631567,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",30,0,-98.79505517764716,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-89.5133805804434,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",20,0,-133.0849486177274,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",30,0,-115.32906508130696,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,0,-77.23132194836721,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,0,-124.97321498063644,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-79.47732845284384,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-63.93181968335727,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-81.55767816440927,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",25,0,-179.87979132461535,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",30,0,-199.1501409997245,"{0: 19, 1: 1, 2: 5, 3: 2, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-179.95773592291496,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",25,13,-24.999622776795544,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-91.02375670007915,"{0: 14, 1: 1, 2: 10, 3: 0, 4: 0}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-101.01001586524026,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",25,0,-86.17502675443528,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-126.11832744550742,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-248.80860512695028,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",20,0,-45.16870493626921,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",35,0,-171.23846119655477,"{0: 22, 1: 1, 2: 9, 3: 1, 4: 2}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",30,0,-87.37870058677235,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-183.76499516933384,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",25,0,-100.0921864324716,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",30,0,-164.55782133976595,"{0: 17, 1: 7, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-164.6466741617338,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,0,-158.5637516190888,"{0: 7, 1: 1, 2: 10, 3: 1, 4: 1}",0
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-77.27812463763948,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-155.3108110205734,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-81.62376815123302,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-76.95117656986758,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",35,18,-90.56252850362128,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 1}",1
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,2,-98.47095349762046,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-121.64452538370459,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,0,-91.58012034374441,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,1,-148.78746443942066,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 2}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",25,1,-103.15888877196333,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 2}",1
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",25,0,-118.67675424825983,"{0: 14, 1: 5, 2: 3, 3: 2, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",20,0,-162.64219078728215,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-92.27509094978952,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490558}",30,8,-59.08326348101595,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",30,0,-137.03367067596014,"{0: 18, 1: 3, 2: 7, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",20,0,-126.98814162192261,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-139.16266240154854,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
